Team,LapNr,Attr,Value
"BETTER THAN RANDOM",1,"Lap time",26.65
"BETTER THAN RANDOM",1,"Crossed track lane",5
"BETTER THAN RANDOM",1,"Drive outside the track",2
"BETTER THAN RANDOM",1,"Reverse driving direction",2
"AIRBORN",1,"Lap time",14.78
"AIRBORN",1,"Crossed track lane",4
"AIRBORN",2,"Lap time",14.89
"AIRBORN",2,"Crossed track lane",2
"AIRBORN",3,"Lap time",14.31
"AIRBORN",3,"Crossed track lane",10
"AIRBORN",3,"Drive outside the track",1
"AIRBORN",4,"Lap time",15.58
"AIRBORN",4,"Crossed track lane",6
"AIRBORN",5,"Lap time",14.71
"AIRBORN",5,"Crossed track lane",4
"AIRBORN",6,"Lap time",13.99
"AIRBORN",6,"Crossed track lane",2
"AIRBORN",6,"Drive outside the track",1
"AIRBORN",7,"Lap time",14.99
"AIRBORN",7,"Crossed track lane",2
"AIRBORN",7,"Drive outside the track",1
"AIRBORN",8,"Lap time",14.59
"AIRBORN",8,"Crossed track lane",1
"AIRBORN",8,"Drive outside the track",5
"AIRBORN",9,"Lap time",13.84
"AIRBORN",9,"Crossed track lane",3
"AIRBORN",9,"Drive outside the track",1
"AIRBORN",10,"Lap time",13.97
"AIRBORN",10,"Crossed track lane",2
"AIRBORN",10,"Drive outside the track",1
"TEAM-A",1,"Lap time",14.39
"TEAM-A",1,"Crossed track lane",2
"TEAM-A",2,"Lap time",14.99
"TEAM-A",2,"Crossed track lane",3
"TEAM-A",3,"Lap time",15.39
"TEAM-A",3,"Drive outside the track",1
"TEAM-A",4,"Lap time",15.36
"TEAM-A",4,"Crossed track lane",1
"TEAM-A",4,"Reverse direction",1
"TEAM-A",6,"Lap time",13.27
"TEAM-A",6,"Crossed track lane",2
"TEAM-A",6,"Drive outside the track",2
"TEAM-A",7,"Lap time",13.51
"TEAM-A",7,"Crossed track lane",2
"TEAM-A",8,"Lap time",15.06
"TEAM-A",8,"Drive outside the track",3
"TEAM-A",10,"Lap time",14.58
"TEAM-A",10,"Drive outside the track",3
"TABLE-5",1,"Lap time",14.44
"TABLE-5",1,"Crossed track lane",
"TABLE-5",1,"Drive outside the track",
"TABLE-5",1,"Reverse direction",
"TABLE-5",2,"Lap time",14.79
"TABLE-5",2,"Crossed track lane",
"TABLE-5",2,"Drive outside the track",
"TABLE-5",2,"Reverse direction",
"TABLE-5",4,"Lap time",31
"TABLE-5",4,"Crossed track lane",2
"TABLE-5",4,"Drive outside the track",6
"TABLE-5",4,"Reverse direction",2
"TABLE-5",5,"Lap time",17.46
"TABLE-5",5,"Crossed track lane",2
"TABLE-5",5,"Drive outside the track",1
"TABLE-5",6,"Lap time",15.04
"TABLE-5",6,"Crossed track lane",4
"TABLE-5",7,"Lap time",14.66
"TABLE-5",7,"Crossed track lane",1
"TABLE-5",7,"Drive outside the track",1
"TABLE-5",7,"Reverse direction",
"TABLE-5",8,"Lap time",14.84
"TABLE-5",8,"Crossed track lane",3
"TABLE-5",8,"Drive outside the track",1
"TABLE-5",9,"Lap time",14.56
"TABLE-5",9,"Crossed track lane",2
"TABLE-5",10,"Lap time",16.42
"TABLE-5",10,"Crossed track lane",2
"TABLE-5",10,"Drive outside the track",2

